"WorkerId","AssignmentStatus","Answer.city","Answer.description","Answer.sentiment"
"A12VPXFUENESUY","Rejected","usa",", Amazon Mturk has started accepting non-US applicants sometime back in mid-2016. Although getting accepted as a worker totally depends on ...","1"
"A34V7HUH38XVGT","Submitted","Riverside","I would like to say that I like it. It is hard to get HITS but it is good extra money. I like the platform and how it gives you bonuses and it is good to have extra cash when you need it. It is steady and good to work for Amazon mechanical turk.","5"
"A1AOOWER2J623J","Rejected","NEW YARK","AMTs inspect, service, maintain, troubleshoot and repair aircraft engines, auxiliary power units, propellers, rotor systems, power train systems, and associated airframe and systems-specific electrical components.","5"
"A7YJRGA8D0HD6","Submitted","Pittsburgh","I like the platform. It is a hobby for me, and I do not depend on it for much income, I use it for ""treats money"".  That being said, many of the payouts are too low for the time, it would be nice if there were minimum payouts based on projected time to complete a task.","4"
"A2Q5J5ECBXQX3U","Rejected","CALIFOURNIA","Reviews from American Airlines employees about working as an AMT at American Airlines. Learn about American Airlines culture, salaries, benefits, work-life ...","5"
"A39GP79ULCP9J2","Submitted","Salt Lake City, UT","Finding work on AMT came at a time where I needed extra funds while working towards the goal of publishing my first book. Since that time I have found AMT to be convenient and a spare source of income that helps me. I enjoy the academic HITS the most and have learned quite a bit from surveys that require writing, keeping a diary, and those asking about politics. I only wish there were more HITS and have since began working for Branded Surveys.","3"
"A7VM0HD1Q2UCA","Rejected","USA","Amazon Mechanical Turk (MTurk) is a marketplace for completion of virtual tasks that requires human intelligence. The Mechanical Turk service gives businesses access to a diverse, on-demand, scalable workforce and gives Workers a selection of thousands of tasks to complete whenever it's convenient.Overall, Amazon Mechanical Turk can be a cost-effective and efficient way to outsource data entry tasks, but it also comes with some limitations related to quality control, security, and control over the workers completing the tasks.","5"
"A1UJOJE9ZNQ95Z","Submitted","Somerville, MA","I like mTurk. It's not as profitable for me as cloud research is, but the tasks tend to be more interesting. I'm a computer scientist who's interested data science and using different scripts to sort HiTs and analyze numbers is kinda fun :)","3"
"ATT0YNUQ0SYVA","Submitted","kollam","So much happy with this platform...i really managing some expenses with the help of this...last few years it help very much...so i love this...i earned somewhat good amount using this","5"
"A5ZFQ5FX2LUMA","Submitted","El Cajon","I like Amazon Mechanical Turk very much. Amazon Mechanical Turk helps me to earn a good amount of money . I am very happy and satisfied with Amazon Mechanical Turk .I like This platform but I feel sometimes there is some work which is very bad . We do their work and they did not give us completion code so because of that we can't submit the work and can't get the money.","4"
"A3NKILKLMANSU8","Submitted","Michigan","To be honest I like Amazon Mechanical Turk very much . This is a very good platform for earning and there is a lot of things to learn . I am very happy to be a part of Amazon Mechanical Turk. Because of Amazon Mechanical Turk I can earn some good amount of money. I am very satisfied .","5"
"A1GDC4ZBY9VK5H","Rejected","USA","Amazon Mechanical Turk (MTurk) is a marketplace for completion of virtual tasks that requires human intelligence. The Mechanical Turk service gives businesses access to a diverse, on-demand, scalable workforce and gives Workers a selection of thousands of tasks to complete whenever it's convenient","5"
"A3CTK78IKKGM3R","Submitted","usa","Amazon Mechanical Turk (MTurk) is a crowdsourcing marketplace that makes it easier for individuals and businesses to outsource their processes and jobs to a Amazon Mechanical Turk HIT jobs can be a great source of extra income for those with full-time or part-time jobs.","1"
"A147FLIHA51IZE","Rejected","Florida","I am interested in working at amt.genova.it because it is a leading organization in the maritime industry and I believe that I can contribute to its success. I have the necessary skills and qualifications for the job, and I am eager to use my skills to contribute to the organization's success. it is a great company with a lot of opportunity for growth and development. Good luck with","5"
"A2G0GJY167I5WP","Rejected","CALIFORNIA","MTurk crowdsources surveys and other small tasks to respondents, allowing task requesters to gain a vast amount of information for a small price. Owned by Amazon (as clear through the name), MTurk is definitely one of the more trustworthy sites I've used over the years.","5"
"A4QS3G65JU46V","Rejected","USA","Amazon Mechanical Turk (MTurk) is a marketplace for completion of virtual tasks that requires human intelligence. The Mechanical Turk service gives businesses access to a diverse, on-demand, scalable workforce and gives Workers a selection of thousands of tasks to complete whenever it's convenient.","5"
"A1XOQ5LSXFEUBG","Submitted","Bangalore Karnataka India","I have been working with Amazon Mechanical Turk Platform since more than ten years. They are prompt in making payment. There are lots of jobs provided by them.","4"
"A4L2UVWOY2APL","Submitted","PENNSYLVANIA","IT IS VERY USEFUL TO IMPROVE MY FINANCIAL STABILITY AND TECHNICAL KNOWLEDGE THE AMAZON MECHANICAL TURK PLATFORM IS VERY EASY WORK AND USER FRIENDLY IT WILL BE GIVES AN NEW AND INNOVATIVE TASKS TO COMPLETE AND INCREASE MY EARNINGS","5"
"A3F6FNJMTWTPTA","Submitted","I live in Le Taillan-Médoc, France.","Hello, I find that the platform does not offer enough tasks and that those in progress are underpaid... Qualification tasks are difficult to access and some requesters never answer questions. A few years ago, there were more interesting tasks, some very well paid. I work less  on this platform,","2"
"A8P7CTHEVN1KZ","Submitted","usa","can be a great source of extra income for those with full-time or part-time jobs.Here's what I learnt from my experience as an MTurk worker: 1. MTurk workers do not earn much money and the site made it impossible to figure","1"
"A345TDMHP3DQ3G","Submitted","New York","I don't like Mechanical Turk because I find it extremely stressful. I feel a constant need to be monitoring the site for work and there's not enough work to go around. It feels like I'm always required to be checking on the tasks that are being released and I feel pressure that I need to be among the first workers to start a batch so that the work won't dry up and to ensure that I'll get paid for my efforts. I work on Mechanical Turk because I don't feel I have enough money to be able to cut the platform out entirely.","1"
"A1JZI9YO5DGXJC","Submitted","Duncan","I think there are a lot of positives with the Amazon Mechanical Turk platform.  I like how the dashboard is laid out.  I like the option of getting paid every 3 days.  I like the sorting features. I like that you can apply for certain types of surveys and studies. I like how there seem to always be one or two HITs where you can go in most hours of the day and be able to choose a lower-paying survey so that you aren't completely wasting your time.  I own a small business that is very seasonal. I've started AMT to supplement that income a bit and help level it out during slow times. It seems to fit that niche well.","4"
"A2QW4UVJNP3Y62","Submitted","Rome","I am working on it to get some extra cash, unfortunately I don' t think it pays decent, and getting qualification is extremely difficult. Concept is good but I believe, execution is bad.","2"
"AD5UNXXKBIF3S","Submitted","FRESNO","My honest opinions about working on the Amazon Mechanical Turk Platform are that it is both financially beneficial and stress-reducing. I really enjoy the AMT work survey on gaming and family-related questionnaires. To be really honest, I don't dislike AMT's work. My daily life is nice, but one awful circumstance has completely devastated me. At the time, Amazon Mechanical Turk was quite useful. I've always liked and enjoyed AMT job. I believe that AMT job is extremely special in my life.","5"
"A2CWSUMPIJKW18","Rejected","CALIFORNIA","Amazon Mechanical Turk provides an on-demand, scalable, human workforce to complete jobs that humans can do better than computers.","4"
"A2H5KI1IVSNVN7","Submitted","USA","Amazon Mechanical Turk (MTurk) is a marketplace for completion of virtual tasks that requires human intelligence. The Mechanical Turk service gives businesses access to a diverse, on-demand, scalable workforce and gives Workers a selection of thousands of tasks to complete whenever it's convenient.","5"
"","","","",""
"AHV4U78TUUDKI","Approved","Palm Springs, CA USA","I like the work - its relatively easy to do and I can do it on my time. My main issue is having the work available when I have time to do some of it. There are times where there are few HITs to do and its frustrating and a little angering to be honest.","4"
